trait_y	trait_x	rate	count_of_total	count_of_resigned	y_lower	y_upper	x_lower	x_upper	x_label	y_label	x_width	y_width
決断性	慎重性	0.5	2.0	1.0	36	42	26	36	26:36	36:42	10	6
決断性	慎重性	0.5	2.0	1.0	37	48	44	46	44:46	37:48	2	11
決断性	慎重性	0.5	2.0	1.0	38	41	18	37	18:37	38:41	19	3
決断性	慎重性	0.5	2.0	1.0	38	42	18	36	18:36	38:42	18	4
決断性	慎重性	0.5	2.0	1.0	38	44	47	50	47:50	38:44	3	6
決断性	慎重性	0.5	2.0	1.0	38	52	66	69	66:69	38:52	3	14
決断性	慎重性	1.0	1.0	1.0	40	41	18	38	18:38	40:41	20	1
決断性	慎重性	0.5	2.0	1.0	40	42	47	53	47:53	40:42	6	2
決断性	慎重性	0.5	2.0	1.0	40	44	47	52	47:52	40:44	5	4
決断性	慎重性	0.5	2.0	1.0	40	46	49	52	49:52	40:46	3	6
決断性	慎重性	0.5	2.0	1.0	40	52	64	69	64:69	40:52	5	12
決断性	慎重性	0.5	2.0	1.0	41	54	64	68	64:68	41:54	4	13
決断性	慎重性	0.5	2.0	1.0	41	61	66	68	66:68	41:61	2	20
決断性	慎重性	0.5	2.0	1.0	42	46	50	53	50:53	42:46	3	4
決断性	慎重性	0.5	2.0	1.0	43	44	40	60	40:60	43:44	20	1
決断性	慎重性	0.5	2.0	1.0	43	46	49	53	49:53	43:46	4	3
決断性	慎重性	0.5	2.0	1.0	45	46	49	54	49:54	45:46	5	1
決断性	慎重性	0.5	2.0	1.0	45	48	43	46	43:46	45:48	3	3
決断性	慎重性	0.5	2.0	1.0	45	56	38	42	38:42	45:56	4	11
決断性	慎重性	0.5	4.0	2.0	46	66	68	72	68:72	46:66	4	20
決断性	慎重性	0.5	2.0	1.0	47	48	53	73	53:73	47:48	20	1
決断性	慎重性	0.5	2.0	1.0	47	67	66	70	66:70	47:67	4	20
決断性	慎重性	0.5	2.0	1.0	48	55	38	45	38:45	48:55	7	7
決断性	慎重性	0.5	2.0	1.0	48	56	38	44	38:44	48:56	6	8
決断性	慎重性	0.5	2.0	1.0	49	55	37	45	37:45	49:55	8	6
決断性	慎重性	0.5	2.0	1.0	49	56	47	49	47:49	49:56	2	7
決断性	慎重性	0.5	4.0	2.0	50	69	66	76	66:76	50:69	10	19
決断性	慎重性	0.5	4.0	2.0	50	70	68	76	68:76	50:70	8	20
決断性	慎重性	0.5	4.0	2.0	51	56	58	60	58:60	51:56	2	5
決断性	慎重性	0.5	4.0	2.0	51	59	58	59	58:59	51:59	1	8
決断性	慎重性	0.5	2.0	1.0	52	55	35	45	35:45	52:55	10	3
決断性	慎重性	0.5	2.0	1.0	52	57	64	67	64:67	52:57	3	5
決断性	慎重性	0.5	4.0	2.0	52	69	68	80	68:80	52:69	12	17
決断性	慎重性	0.5	2.0	1.0	53	55	31	45	31:45	53:55	14	2
決断性	慎重性	0.5	4.0	2.0	53	69	66	80	66:80	53:69	14	16
決断性	慎重性	0.5	4.0	2.0	53	70	68	79	68:79	53:70	11	17
決断性	慎重性	0.5	2.0	1.0	53	73	68	70	68:70	53:73	2	20
決断性	慎重性	0.5	2.0	1.0	54	73	54	55	54:55	54:73	1	19
決断性	慎重性	0.5	2.0	1.0	55	60	51	55	51:55	55:60	4	5
決断性	慎重性	0.5	2.0	1.0	55	61	53	55	53:55	55:61	2	6
決断性	慎重性	0.5	6.0	3.0	55	69	64	80	64:80	55:69	16	14
決断性	慎重性	0.5	6.0	3.0	55	70	64	76	64:76	55:70	12	15
決断性	慎重性	0.5	2.0	1.0	56	57	51	68	51:68	56:57	17	1
決断性	慎重性	0.5	2.0	1.0	56	59	54	59	54:59	56:59	5	3
決断性	慎重性	0.5	2.0	1.0	56	61	54	58	54:58	56:61	4	5
決断性	慎重性	0.5	6.0	3.0	56	63	61	80	61:80	56:63	19	7
決断性	慎重性	0.5	6.0	3.0	56	67	61	76	61:76	56:67	15	11
決断性	慎重性	0.5	2.0	1.0	57	59	31	48	31:48	57:59	17	2
決断性	慎重性	0.5	2.0	1.0	58	67	59	63	59:63	58:67	4	9
決断性	慎重性	0.5	2.0	1.0	58	73	59	61	59:61	58:73	2	15
決断性	慎重性	0.5	4.0	2.0	60	64	55	75	55:75	60:64	20	4
決断性	慎重性	0.5	4.0	2.0	60	67	59	79	59:79	60:67	20	7
決断性	慎重性	0.5	2.0	1.0	60	69	62	80	62:80	60:69	18	9
決断性	慎重性	0.5	2.0	1.0	61	64	55	70	55:70	61:64	15	3
決断性	慎重性	0.5	2.0	1.0	61	67	58	63	58:63	61:67	5	6
決断性	慎重性	0.5	2.0	1.0	62	64	54	68	54:68	62:64	14	2
